year,gen_acc_balance,rev_acc_balance,com_acc_balance,forked_accounts_balance,total_portfolio_value,annual_income,active_forked_accounts,total_forked_accounts,forks_this_year,merges_this_year
1,123444.3675,147153.7452697385,115148.76446055394,118146.46992040613,503893.34715069854,203893.3471506985,2,2,2,0
2,126987.59889562546,240602.4971879008,147324.8661865792,322456.81187886704,837371.7741489725,333478.4269982741,5,5,3,0
3,130632.53188345152,393395.0953605701,188491.9590633448,664364.4736821078,1376884.0599894742,539512.2858405019,9,9,4,0
4,134382.08561063546,643217.3517005978,241162.4021877051,1236737.5382667708,2255499.377765709,878615.317776235,17,17,8,0
5,138239.26301279786,1051687.13694695,308550.5849583713,2181053.988195142,3679530.973113261,1424031.5953475528,29,29,12,0
6,142207.15321900812,1719552.2339305799,394769.09590597363,3711267.3948007785,5967795.87785634,2288264.9047430772,45,45,16,0
7,146288.9340258004,2811539.460109226,505079.70711980853,6209333.888142409,9672241.989397243,3704446.1115409057,77,77,32,0
8,150487.87444220134,4596984.016985903,646214.4914327151,10256371.790912656,15650058.173773475,5977816.184376228,125,125,48,0
9,154807.337307808,7516260.167162251,826786.6696109149,16729245.865763407,25227100.03984438,9577041.866070917,189,189,64,0
10,159250.7819860126,12289398.155774169,1057816.260868367,27178859.667934477,40685324.86656302,15458224.82671863,317,317,128,0
