year,gen_acc_balance,rev_acc_balance,com_acc_balance,forked_accounts_balance,total_portfolio_value,annual_income,annual_reinvestment,active_forked_accounts,total_forked_accounts_created,forks_this_year,merges_this_year,pending_reinvestment_eof,is_drawdown_year
1,161072.349709996,109822.37491559846,101192.13846241108,0.0,372086.8630880055,87293.0414100781,72086.8630880055,0,0,0,0,0.0,False
2,210395.94865550642,130041.43859983399,105464.83658686279,0.0,445902.2238422032,88364.7330773437,73815.36075419761,0,0,0,0,0.0,True
3,161440.17818984017,162712.91573470854,117391.68199854551,118890.00638735548,560434.7823104498,135706.80527373924,103869.06463088645,1,1,1,0,0.0,False
4,120617.87451774463,189988.1758470923,123062.68758995112,243514.89717152703,677183.635126315,137790.43415327033,102282.4043674832,2,2,1,0,-20.493364342359513,True
5,167240.4523891263,240251.92922126886,138114.3575872172,316215.9633308756,861822.702528488,223424.51753991778,184618.57403783037,2,2,0,0,0.0,False
6,121290.61480260012,295948.2126596354,156310.0445788571,503936.83691575075,1077485.7089568432,256080.28871603913,192229.4777786979,4,4,2,0,0.0,False
7,147340.60263073933,339591.5110245344,162853.07773283278,584765.2733114681,1234550.4646995747,190052.22613662493,157064.7557427311,4,4,0,0,0.0,True
8,218000.98714647087,419951.8759347534,181688.21441167875,729645.3624847445,1549286.4399776475,378750.1372017675,306646.0980727907,5,5,1,0,0.0,False
9,144420.29815225117,491772.486762855,188424.92216615536,951879.8389477297,1776497.5460289912,275327.1613685406,223933.1464165632,6,6,1,0,0.0,True
10,191612.81577507957,598607.0380570894,205623.69487275407,1185338.2399013946,2181181.7886063177,486637.67492370645,381063.74732174084,8,8,2,0,0.0,False
