year,gen_acc_balance,rev_acc_balance,com_acc_balance,forked_accounts_balance,total_portfolio_value,annual_income,annual_reinvestment,active_forked_accounts,total_forked_accounts_created,forks_this_year,merges_this_year,pending_reinvestment_eof
1,162409.61500748777,170585.64575687685,125569.43726470893,134613.52469518792,593178.2227242615,293178.2227242616,0.0,1,1,1,0,0
2,126501.04716628647,325158.81152244867,178363.97453365027,548233.1916749767,1178257.024897362,585078.8021731006,0.0,4,4,3,0,0
3,203862.61857012843,457848.6645811502,211315.49652775383,780623.3015915356,1653650.081270568,475393.05637320585,0.0,5,5,1,0,0
4,139994.80120635376,935527.2844960907,283902.98803650186,1869166.8850192495,3228591.958758196,1574941.8774876278,0.0,11,11,6,0,0
5,161715.01088995129,1776467.1564454776,398696.01937976596,3626535.706841928,5963413.893557123,2734821.9347989275,0.0,21,21,10,0,0
6,215917.4054822,3528524.142600934,555395.4613888294,7018602.679080443,11318439.688552406,5355025.7949952865,0.0,41,41,20,0,0
7,192649.47019306076,4826960.612308929,663387.8116158947,9791840.47495356,15474838.369071444,4156398.680519039,0.0,57,57,16,0,0
8,132510.4241416159,8633978.687011752,916529.0828437309,18490069.458164066,28173087.652161166,12698249.283089714,0.0,99,99,42,0,0
9,183225.13359245408,15145627.90597652,3022582.759407841,32541138.412304353,50892574.211281165,22719486.559120007,0.0,171,174,75,3,0
10,145441.4176733602,29577476.268745404,5644692.389838714,58671713.665505074,94039323.74176255,43146749.53048144,0.0,320,326,152,3,0
